City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,9.73,93,100,5.66,US,Jun 24 2023
1,trairi,-3.2778,-39.2689,26.79,71,85,3.25,BR,Jun 24 2023
2,weno,7.4515,151.8468,25.97,89,100,0.0,FM,Jun 24 2023
3,adamstown,-25.066,-130.1015,20.51,59,100,4.9,PN,Jun 24 2023
4,inarajan village,13.2736,144.7484,28.54,90,95,5.3,GU,Jun 24 2023
5,buala,-8.145,159.5921,27.14,84,100,3.8,SB,Jun 24 2023
6,malango,-2.9627,119.9001,20.22,99,99,0.17,ID,Jun 24 2023
7,nampula,-15.1165,39.2666,14.81,86,1,1.95,MZ,Jun 24 2023
8,wailua homesteads,22.0669,-159.378,28.44,76,100,7.72,US,Jun 24 2023
9,aleksandrov gay,50.147,48.5704,19.6,80,100,4.29,RU,Jun 24 2023
10,boguchany,58.3814,97.4531,9.17,74,55,1.36,RU,Jun 24 2023
11,saipan,15.1355,145.701,28.39,100,75,4.12,MP,Jun 24 2023
12,isafjordur,66.0755,-23.124,11.87,86,100,1.79,IS,Jun 24 2023
13,edinburgh of the seven seas,-37.0676,-12.3116,13.42,67,32,8.05,SH,Jun 24 2023
14,kuytun,54.3419,101.5036,11.11,96,0,2.19,RU,Jun 24 2023
15,sitka,57.0531,-135.33,15.94,77,75,4.63,US,Jun 24 2023
16,puerto ayora,-0.7393,-90.3518,29.98,87,100,2.68,EC,Jun 24 2023
17,yellowknife,62.456,-114.3525,15.31,44,75,8.75,CA,Jun 24 2023
18,fale old settlement,-9.3852,-171.2468,28.41,68,6,6.01,TK,Jun 24 2023
19,puerto natales,-51.7236,-72.4875,2.25,93,75,1.54,CL,Jun 24 2023
20,la gi,10.6667,107.7833,26.05,87,100,3.15,VN,Jun 24 2023
21,margaret river,-33.95,115.0667,9.87,82,98,3.27,AU,Jun 24 2023
22,iqaluit,63.7506,-68.5145,7.85,65,100,0.0,CA,Jun 24 2023
23,st. john's,47.5649,-52.7093,25.66,65,20,7.2,CA,Jun 24 2023
24,i-n-salah,27.1935,2.4607,36.73,10,0,9.87,DZ,Jun 24 2023
25,manokwari,-0.8667,134.0833,25.93,74,65,1.82,ID,Jun 24 2023
26,sauri,11.7266,6.7837,24.04,80,15,5.89,NG,Jun 24 2023
